NAME,WHAT IT DOES,FUNDING ,YEAR FOUNDED,HEADQUARTERS,Latitude,Longitude
Abridge,Medical conversation documentation,$213 M,2018,"Pittsburgh, Pennsylvania, United States",40.4406,-79.995888
Adept,AI model developer,$415 M,2022,"San Francisco, California, United States",37.7792588,-122.4193286
Anduril Industries,Defense software and hardware,$2.8 B,2017,"Costa Mesa, California, United States",33.6633386,-117.903317
Anthropic,AI model developer,$7.7 B,2020,"San Francisco, California, United States",37.7792588,-122.4193286
Anyscale,AI app deployment software,$259 M,2019,"San Francisco, California, United States",37.7792588,-122.4193286
AssemblyAI,Speech transcription tooling provider,$115 M,2017,"San Francisco, California, United States",37.7792588,-122.4193286
Baseten,AI app deployment software,$60 M,2019,"San Francisco, California, United States",37.7792588,-122.4193286
Cerebras Systems,Computer chip maker,$720 M,2016,"Sunnyvale, California, United States",37.3688301,-122.036349
Character.AI,Consumer chatbot app,$193 M,2021,"Menlo Park, California, United States",37.4519671,-122.177992
Cleanlab,Error detection for data,$30 M,2021,"San Francisco, California, United States",37.7792588,-122.4193286
Codeium,Coding autocompletion app,$93 M,2021,"Mountain View, California, United States",37.3893889,-122.0832101
Cohere,AI model developer,$445 M,2019,"Toronto, Ontario, Canada",43.6534817,-79.3839347
Cradle,Protein design for drug discovery,$33 M,2021,"Amsterdam, Netherlands",52.3730796,4.8924534
Cresta,Call center agent assistance,$152 M,2017,"Palo Alto, California, United States",37.4443293,-122.1598465
Databricks,Data storage and analytics,$4 B,2013,"San Francisco, California, United States",37.7792588,-122.4193286
DeepL,Language translation service,$100 M,2017,"Cologne, Germany",50.938361,6.959974
ElevenLabs,Voice generation software,$101 M,2022,"London, United Kingdom",51.5074456,-0.1277653
Figure AI,Autonomous humanoid robots,$754 M,2022,"Sunnyvale, California, United States",37.3688301,-122.036349
Glean,Enterprise search engine,$360 M,2019,"Palo Alto, California, United States",37.4443293,-122.1598465
Harvey,AI models for law firms,$106 M,2022,"San Francisco, California, United States",37.7792588,-122.4193286
Hebbia,Enterprise search engine,$30 M,2020,"New York, New York, United States",40.7127281,-74.0060152
Hugging Face,Library for AI models and datasets,$395 M,2016,"New York, New York, United States",40.7127281,-74.0060152
Insitro,Drug discovery and development,$643 M,2018,"San Francisco, California, United States",37.7792588,-122.4193286
Kumo.AI,Data analytics software,$37 M,2021,"Mountain View, California, United States",37.3893889,-122.0832101
LangChain,AI app development tools,$35 M,2023,"San Francisco, California, United States",37.7792588,-122.4193286
Leonardo.AI,Image generation service,$31 M,2022,"Sydney, Australia",-33.8698439,151.2082848
Midjourney,Image generation service,$0 M,2021,"San Francisco, California, United States",37.7792588,-122.4193286
Mistral AI,Open-source AI model research,$528 M,2023,"Paris, France",48.8588897,2.3200410217200766
Notion,Productivity software,$330 M,2013,"San Francisco, California, United States",37.7792588,-122.4193286
OpenAI,AI model developer,$11.3 B,2015,"San Francisco, California, United States",37.7792588,-122.4193286
Owkin,Drug discovery and development,$304 M,2016,"New York, New York, United States",40.7127281,-74.0060152
Perplexity,General purpose search app,$102 M,2022,"San Francisco, California, United States",37.7792588,-122.4193286
Photoroom,Photo editing app,$64 M,2019,"Paris, France",48.8588897,2.3200410217200766
Pika,Video generation service,$55 M,2023,"Palo Alto, California, United States",37.4443293,-122.1598465
Pinecone,Database software,$138 M,2019,"New York, New York, United States",40.7127281,-74.0060152
Replicate,AI app deployment software,$60 M,2019,"San Francisco, California, United States",37.7792588,-122.4193286
Rosebud AI,Video game design software,$10 M,2019,"San Francisco, California, United States",37.7792588,-122.4193286
Runway,Image and video editing software,$237 M,2018,"New York, New York, United States",40.7127281,-74.0060152
Sana,Enterprise learning and search,$82 M,2016,"Stockholm, Sweden",59.3251172,18.0710935
Scale AI,Data labeling and software,$600 M,2016,"San Francisco, California, United States",37.7792588,-122.4193286
Sierra,Customer service software,$110 M,2023,"San Francisco, California, United States",37.7792588,-122.4193286
Synthesia,AI avatar and video generator,$157 M,2017,"London, United Kingdom",51.5074456,-0.1277653
Together AI,AI model development tools,$229 M,2022,"San Francisco, California, United States",37.7792588,-122.4193286
Tome,Presentation creation software,$81 M,2020,"San Francisco, California, United States",37.7792588,-122.4193286
Tractian,Industrial machine maintenance,$65 M,2019,"Atlanta, Georgia, United States",33.7489924,-84.3902644
Unstructured,AI app development tools,$65 M,2022,"Sacramento, California, United States",38.5810606,-121.493895
Vannevar Labs,Defense intelligence software,$87 M,2019,"Palo Alto, California, United States",37.4443293,-122.1598465
Waabi,Autonomous trucking technology,$84 M,2021,"Toronto, Ontario, Canada",43.6534817,-79.3839347
Weaviate,Database software,$68 M,2019,"Amsterdam, Netherlands",52.3730796,4.8924534
Writer,Enterprise generative AI software,$126 M,2020,"San Francisco, California, United States",37.7792588,-122.4193286
